local_model_test_accuracies_0.05_0,"[37.33, 29.91, 59.1, 34.38, 44.54]"
local_model_test_losses_0.05_0,"[11.244029037475586, 14.14791907196045, 5.445567783355713, 5.86922781906128, 4.186115950775147]"
fedavg_test_loss_2_0,1.9775570472717285
fedavg_test_acc_2_0,33.67
otfusion_test_loss_2_0,2.292548419570923
otfusion_test_acc_2_0,37.64
pfnm_test_loss_2_0,1.8373922035217285
pfnm_test_acc_2_0,44.93
regmean_test_loss_2_0,1.7647197908401488
regmean_test_acc_2_0,52.85
dense_test_loss_2_0,2.6785004833221437
dense_test_acc_2_0,36.22
fisher_merge_test_loss_2_0,2.4186565116882326
fisher_merge_test_acc_2_0,46.87
fedfisher_diag_test_loss_2_0,2.514273860168457
fedfisher_diag_test_acc_2_0,46.01
fedfisher_kfac_test_loss_2_0,1.7422206081390381
fedfisher_kfac_test_acc_2_0,56.06
