local_model_test_accuracies_0.1_0,"[40.75, 37.75, 65.5, 47.48, 63.17]"
local_model_test_losses_0.1_0,"[10.68748914642334, 8.292557208251953, 4.5374782897949215, 6.048016073608398, 2.119410516357422]"
fedavg_test_loss_2_0,1.881947734260559
fedavg_test_acc_2_0,35.49
otfusion_test_loss_2_0,2.2917488662719725
otfusion_test_acc_2_0,40.7
pfnm_test_loss_2_0,1.5850698963165284
pfnm_test_acc_2_0,51.82
regmean_test_loss_2_0,1.8168507682800292
regmean_test_acc_2_0,54.59
dense_test_loss_2_0,2.231404668045044
dense_test_acc_2_0,47.4
fisher_merge_test_loss_2_0,2.1684056686401365
fisher_merge_test_acc_2_0,55.78
fedfisher_diag_test_loss_2_0,2.1512880813598634
fedfisher_diag_test_acc_2_0,55.72
fedfisher_kfac_test_loss_2_0,1.1412870452880859
fedfisher_kfac_test_acc_2_0,69.76
